iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0567416489921,0.0562981550824,0.056424281128,0.887639674438,0.887570699407,0.887662767601,0,0,0,1.615723212
10,0.0610790842517,0.0618034216316,0.0612971770898,0.873603255621,0.870740791833,0.873427499448,0.0487931481962,0.0582914572864,0.049710024855,17.148427299
20,0.0601161583906,0.0604622492984,0.0604786220478,0.887639674438,0.887570699407,0.887662767601,0,0,0,32.541945291
30,0.0525945744414,0.0523783453532,0.0524518399398,0.887639674438,0.887570699407,0.887662767601,0,0,0,47.415716775
40,0.0587049807658,0.0588391129467,0.0585127916149,0.887639674438,0.887570699407,0.887662767601,0,0,0,63.014636331
50,0.0528427391487,0.0527533898175,0.0526565533214,0.887639674438,0.887570699407,0.887662767601,0,0,0,78.760613112
60,0.0521399815654,0.0515957873832,0.0512593023853,0.887639674438,0.887570699407,0.887662767601,0,0,0,94.722059873
70,0.0534897980173,0.0528486059037,0.052752357231,0.887639674438,0.887570699407,0.887662767601,0,0,0,110.678554024
80,0.0532301058205,0.0526636497894,0.0525798847391,0.887639674438,0.887570699407,0.887662767601,0,0,0,127.146262057
90,0.0532204418197,0.0528283689159,0.0527046714864,0.887639674438,0.887570699407,0.887662767601,0,0,0,142.752315386
100,0.0537929600786,0.0534678112575,0.0532398510668,0.887639674438,0.887570699407,0.887662767601,0,0,0,158.374486079
110,0.0509715202143,0.0504594354709,0.050128333222,0.887639674438,0.887570699407,0.887662767601,0,0,0,174.875577037
120,0.0532739081168,0.0526393691832,0.0522533266259,0.887639674438,0.887570699407,0.887662767601,0,0,0,190.655550145
130,0.0536073877569,0.0531221114357,0.0528222305731,0.887639674438,0.887570699407,0.887662767601,0,0,0,206.268862685
140,0.0556310413301,0.0552310852975,0.0550038815105,0.887639674438,0.887570699407,0.887662767601,0,0,0,221.991705471
150,0.0530570070796,0.0525910661251,0.0523536493424,0.887639674438,0.887570699407,0.887662767601,0,0,0,237.682974579
160,0.052409958983,0.0519847861622,0.0515046157653,0.887639674438,0.887570699407,0.887662767601,0,0,0,253.111013198
170,0.0540743269289,0.0534259440969,0.0532396418262,0.887639674438,0.887570699407,0.887662767601,0,0,0,268.897486618
180,0.0538087471662,0.0531044848039,0.0530654646829,0.887674161953,0.887570699407,0.887662767601,0.000613685179503,0,0,284.996890267
190,0.0540100957021,0.0533422715613,0.0531235576074,0.887639674438,0.887570699407,0.887662767601,0,0,0,300.542520637
200,0.0545207141529,0.0538868754148,0.0538586504459,0.887639674438,0.887570699407,0.887662767601,0,0,0,316.519734135
210,0.0537114788306,0.052982793249,0.0529367964962,0.887639674438,0.887570699407,0.887662767601,0,0,0,332.976055357
220,0.0524257836305,0.0518836697844,0.0516696753019,0.887639674438,0.887570699407,0.887662767601,0,0,0,349.934274717
230,0.053799719572,0.0530455298578,0.0530431599923,0.887639674438,0.887570699407,0.887662767601,0,0,0,365.697030429
240,0.054007137276,0.0535617661732,0.0533967480497,0.887639674438,0.887570699407,0.887662767601,0,0,0,382.201645975
250,0.0533643887377,0.0528403343371,0.052724687386,0.887639674438,0.887570699407,0.887662767601,0,0,0,398.083095756
260,0.0541217396665,0.0536427110857,0.053507193717,0.887605186922,0.887570699407,0.887662767601,0,0,0,414.135885946
270,0.0561310286278,0.0552455163861,0.0551300449473,0.886915436612,0.886605048972,0.887773118517,0,0,0.0058651026393,429.565929961
280,0.0549492585228,0.054464484642,0.0541984004404,0.887639674438,0.887570699407,0.887662767601,0,0,0,445.180224775
290,0.055069358796,0.0542908765517,0.054106307792,0.887639674438,0.887570699407,0.887662767601,0,0,0,461.191569472
300,0.0550594342994,0.054417550121,0.0542462422832,0.887605186922,0.887570699407,0.887442065769,0,0,0,477.024705485
310,0.0558014743383,0.0551407641696,0.0549977955451,0.887570699407,0.887432749345,0.887331714853,0,0,0,493.794640601
320,0.0536728593394,0.0531147406787,0.0528643967566,0.887639674438,0.887570699407,0.887662767601,0,0,0,509.156263139
330,0.0539133061396,0.0533859191449,0.0531493121205,0.887605186922,0.887570699407,0.887662767601,0,0,0,524.90870322
340,0.0532745266433,0.0528363859758,0.0525928611388,0.887639674438,0.887570699407,0.887662767601,0,0,0,540.724411506
350,0.0531820194293,0.0527125029647,0.0524765493458,0.887639674438,0.887570699407,0.887552416685,0,0,0,556.695834397
360,0.0535031990708,0.053063554704,0.05283062368,0.887639674438,0.887570699407,0.887662767601,0,0,0,572.594940127
370,0.0536347710188,0.0530649286725,0.052822029032,0.887639674438,0.887570699407,0.887662767601,0,0,0,588.345523974
380,0.0526755546735,0.0522790085901,0.0520580464742,0.887639674438,0.887570699407,0.887662767601,0,0,0,603.857535114
390,0.0531652237622,0.0528954852654,0.052649473187,0.887639674438,0.887570699407,0.887662767601,0,0,0,619.813707877
400,0.0536659049761,0.0530647682597,0.0528963258278,0.887639674438,0.887570699407,0.887662767601,0,0,0,635.346333608
410,0.0541960548276,0.05358618116,0.0534656682535,0.887639674438,0.887570699407,0.887662767601,0,0,0,650.744085484
420,0.0530396935152,0.0524795689755,0.0524078849876,0.887639674438,0.887570699407,0.887662767601,0,0,0,666.34883916
