iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.167896688507,0.168259323941,0.168286769698,0.28255621465,0.280038626017,0.279849922754,0.203163902402,0.20454199055,0.203952183459,0.058453033
10,0.167238908166,0.167493317054,0.16769409305,0.278279762726,0.275762174093,0.277422202604,0.205595414342,0.205748865356,0.205146880311,0.563319653
20,0.174244780465,0.174740658893,0.174767634252,0.270692509312,0.270658021796,0.268704480247,0.205388344042,0.207227470385,0.203389830508,1.083236051
30,0.17528223907,0.17577106817,0.175798520124,0.264277831425,0.261967167885,0.262635179872,0.205030743432,0.206466923761,0.2039552061,1.601838392
40,0.16602850094,0.166579237721,0.16660636996,0.307283763278,0.305697337564,0.30048554403,0.206400632161,0.210262042994,0.202340505851,2.119373152
50,0.16470800995,0.165250395133,0.165150929634,0.310456614705,0.309284039178,0.303796071507,0.208283836224,0.213107024988,0.202704410464,2.63937875
60,0.163117807309,0.163644468979,0.163741347124,0.319285418678,0.317698992965,0.31317589936,0.209847878303,0.21317212854,0.204092071611,3.164907478
70,0.139387507686,0.139905115362,0.140121646914,0.46544350945,0.458270106222,0.459721915692,0.22032193159,0.224985198342,0.220878421388,3.735196509
80,0.136527344383,0.13697570145,0.137337830514,0.483101117396,0.475100013795,0.477378062238,0.222614107884,0.223944523761,0.217707300958,4.313738434
90,0.131307143897,0.131495751316,0.132143325108,0.517347220306,0.514553731549,0.518207901126,0.210615375938,0.213631284916,0.205604075691,4.835045131
100,0.128482990873,0.128634185341,0.129182839336,0.534142640364,0.529038488067,0.535422644008,0.21300396178,0.216613125287,0.209241172051,5.367575063
110,0.127029628097,0.127148129853,0.127752164098,0.539936542971,0.53786729204,0.542154049879,0.215201788446,0.217655301261,0.209864787659,5.903697677
120,0.114205797179,0.113958942224,0.114542120705,0.61291212581,0.607670023452,0.61664091812,0.224647692733,0.224222585925,0.222470904208,6.433148822
130,0.112284340771,0.1121941776,0.11257528326,0.625189681335,0.623948130777,0.627896711543,0.223381449193,0.226447219069,0.222683264177,6.962985184
140,0.110868828581,0.110576080584,0.111055747332,0.634811698165,0.635949786177,0.634628117413,0.226685167604,0.23173216885,0.225859247136,7.497226622
150,0.109974688897,0.109688304293,0.110159226906,0.638294937233,0.639122637605,0.63849039947,0.226776762017,0.231040564374,0.226628895184,8.018201499
