iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.242414288637,0.230252678432,0.247208077591,0.300408163265,0.328990228013,0.297650130548,0.407740152039,0.427777777778,0.408791208791,0.016013203
10,0.241241005817,0.228292617336,0.245561143998,0.305306122449,0.338762214984,0.302872062663,0.40779401531,0.428169014085,0.41059602649,0.167389231
20,0.236831004409,0.224933265067,0.241443777087,0.309387755102,0.338762214984,0.305483028721,0.405898876404,0.414985590778,0.408888888889,0.316353878
30,0.236629875447,0.224423436097,0.241117283393,0.311020408163,0.345276872964,0.308093994778,0.408134642356,0.424068767908,0.412416851441,0.488188381
40,0.236176433292,0.223622241882,0.240519614745,0.315102040816,0.338762214984,0.305483028721,0.410400562193,0.42492917847,0.411504424779,0.640971885
50,0.234450725865,0.222373066308,0.238873941638,0.319183673469,0.335504885993,0.308093994778,0.411847672779,0.423728813559,0.412416851441,0.780784784
60,0.233967913243,0.221789319762,0.238194773823,0.318367346939,0.338762214984,0.308093994778,0.411557434813,0.42492917847,0.412416851441,0.929537064
70,0.229714142987,0.217582570025,0.233036081299,0.322448979592,0.348534201954,0.310704960836,0.41134751773,0.428571428571,0.413333333333,1.052560585
80,0.22949216735,0.216123093144,0.233741797354,0.319183673469,0.355048859935,0.310704960836,0.408510638298,0.431034482759,0.410714285714,1.175117806
90,0.228410952261,0.215681808348,0.232308504931,0.32,0.348534201954,0.310704960836,0.408800567779,0.428571428571,0.410714285714,1.307879396
100,0.228069942542,0.215176768733,0.232182109059,0.324897959184,0.348534201954,0.313315926893,0.411387900356,0.428571428571,0.41425389755,1.432722729
110,0.226778992294,0.214005093393,0.231643981719,0.323265306122,0.355048859935,0.313315926893,0.40488155061,0.42774566474,0.408988764045,1.5672019
120,0.226607382401,0.213699198317,0.231584382643,0.321632653061,0.355048859935,0.313315926893,0.404301075269,0.42774566474,0.406320541761,1.680640574
130,0.226242425173,0.213125012773,0.230865377089,0.325714285714,0.355048859935,0.310704960836,0.406609195402,0.42774566474,0.405405405405,1.807716988
140,0.223986047447,0.211071775274,0.22858843362,0.326530612245,0.358306188925,0.313315926893,0.407753050969,0.428985507246,0.408988764045,1.935954921
150,0.223878993194,0.210979288683,0.228249097826,0.324897959184,0.364820846906,0.31592689295,0.405463695183,0.431486880466,0.40990990991,2.050607597
160,0.223415682783,0.210761208716,0.22773261592,0.332244897959,0.361563517915,0.31592689295,0.412356321839,0.43023255814,0.40990990991,2.170554194
170,0.222947591098,0.210284790103,0.226672586747,0.328979591837,0.361563517915,0.318537859008,0.409482758621,0.43023255814,0.410835214447,2.301961303
180,0.221950094564,0.209347466304,0.225331732415,0.328979591837,0.361563517915,0.318537859008,0.410329985653,0.43023255814,0.413483146067,2.422723639
190,0.21894463584,0.206846604325,0.222218121572,0.331428571429,0.361563517915,0.321148825065,0.411214953271,0.43023255814,0.414414414414,2.541578755
200,0.218632365123,0.206417014355,0.221864011353,0.33387755102,0.361563517915,0.31592689295,0.412103746398,0.43023255814,0.412556053812,2.659943511
210,0.218355215438,0.206090099689,0.221475053748,0.335510204082,0.368078175896,0.318537859008,0.412698412698,0.432748538012,0.413483146067,2.784483498
220,0.21847378489,0.206592836227,0.221600951071,0.335510204082,0.368078175896,0.318537859008,0.412698412698,0.432748538012,0.413483146067,2.949487844
230,0.2180519354,0.205965353745,0.22154231569,0.335510204082,0.368078175896,0.321148825065,0.412698412698,0.432748538012,0.414414414414,3.100581224
240,0.218396342615,0.20649507053,0.222353394916,0.336326530612,0.371335504886,0.31592689295,0.412996389892,0.434017595308,0.412556053812,3.23320869
250,0.217018971046,0.205623881592,0.220665483744,0.336326530612,0.364820846906,0.318537859008,0.412996389892,0.431486880466,0.413483146067,3.365624658
260,0.216638905555,0.204765892439,0.220170977404,0.334693877551,0.371335504886,0.318537859008,0.41155234657,0.437317784257,0.413483146067,3.548391086
270,0.215471688891,0.203144379282,0.218726249948,0.338775510204,0.377850162866,0.32637075718,0.413043478261,0.439882697947,0.41628959276,3.677400034
280,0.215851796457,0.203448618007,0.219067415788,0.338775510204,0.377850162866,0.323759791123,0.413043478261,0.439882697947,0.415349887133,3.804194726
290,0.214833348266,0.202749797867,0.218417770661,0.340408163265,0.377850162866,0.323759791123,0.414492753623,0.439882697947,0.415349887133,3.926212718
300,0.214416174178,0.202118077821,0.217818806772,0.339591836735,0.381107491857,0.328981723238,0.413343002175,0.441176470588,0.417233560091,4.05943729
310,0.213433431426,0.2008646386,0.216897250696,0.343673469388,0.377850162866,0.323759791123,0.414847161572,0.436578171091,0.415349887133,4.212985532
320,0.212554456751,0.200109165804,0.215835230525,0.342857142857,0.377850162866,0.323759791123,0.412837345004,0.436578171091,0.415349887133,4.432507928
330,0.209242937614,0.197935555957,0.212996155096,0.349387755102,0.381107491857,0.323759791123,0.413539367182,0.441176470588,0.412698412698,4.577662903
340,0.208472293811,0.197635188161,0.212116059098,0.351020408163,0.371335504886,0.32637075718,0.414148857775,0.427299703264,0.413636363636,4.725943172
350,0.207284653687,0.196566495913,0.210321511784,0.352653061224,0.381107491857,0.323759791123,0.412157153447,0.427710843373,0.407322654462,4.862739128
360,0.207284653687,0.196566495913,0.210321511784,0.352653061224,0.381107491857,0.323759791123,0.412157153447,0.427710843373,0.407322654462,5.018580487
370,0.206665085122,0.19656609762,0.209890106425,0.358367346939,0.381107491857,0.331592689295,0.417777777778,0.427710843373,0.415525114155,5.191215689
380,0.205820714519,0.195348347066,0.208606499352,0.358367346939,0.384364820847,0.33681462141,0.416913946588,0.425531914894,0.420091324201,5.369562501
390,0.204144832675,0.193909608675,0.20601793753,0.362448979592,0.387622149837,0.33681462141,0.418466120625,0.430303030303,0.417431192661,5.489967543
400,0.203826969141,0.193520661671,0.205542712254,0.366530612245,0.390879478827,0.342036553525,0.420895522388,0.431610942249,0.41935483871,5.663464463
410,0.202995516531,0.193116237475,0.204471529296,0.367346938776,0.394136807818,0.34725848564,0.421209858103,0.432926829268,0.423963133641,5.842432752
420,0.200350642494,0.190822763341,0.202293696291,0.376326530612,0.407166123779,0.357702349869,0.427286356822,0.441717791411,0.427906976744,5.967776588
430,0.199355997439,0.190619171688,0.201120397427,0.379591836735,0.407166123779,0.349869451697,0.429429429429,0.438271604938,0.422273781903,6.091481778
440,0.197610482826,0.189047336768,0.198904302257,0.382040816327,0.407166123779,0.368146214099,0.429540316503,0.438271604938,0.431924882629,6.233221345
450,0.197301309147,0.188536129797,0.198693084848,0.384489795918,0.403908794788,0.362924281984,0.432228915663,0.433436532508,0.429906542056,6.354387904
