iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.118779502823,0.115069681259,0.12220982732,0.745306122449,0.749185667752,0.733681462141,0.360655737705,0.42962962963,0.301369863014,0.181342934
10,0.0436824335093,0.0817371644521,0.0859012319688,0.890612244898,0.801302931596,0.78590078329,0.818428184282,0.662983425414,0.640350877193,0.830883404
20,0.0142363381285,0.0672779762183,0.0753755560435,0.962448979592,0.843648208469,0.819843342037,0.928792569659,0.703703703704,0.649746192893,1.522720301
30,0.00758480685055,0.063772105526,0.0780635943741,0.981224489796,0.840390879479,0.814621409922,0.964885496183,0.695652173913,0.639593908629,2.094241227
40,0.00541521110629,0.0593046871761,0.0778218222148,0.98693877551,0.85667752443,0.814621409922,0.97583081571,0.728395061728,0.639593908629,2.632441882
50,0.00443316212723,0.0595146917612,0.0804542311844,0.98693877551,0.85667752443,0.812010443864,0.975609756098,0.734939759036,0.636363636364,3.151020166
60,0.00382534928942,0.0571097012281,0.08248394118,0.987755102041,0.879478827362,0.817232375979,0.977099236641,0.775757575758,0.65,3.740928896
70,0.0035625590195,0.0542598860194,0.0817991250626,0.987755102041,0.882736156352,0.812010443864,0.977029096478,0.780487804878,0.64,4.212897818
80,0.00341615418159,0.0549846751614,0.0778032434854,0.987755102041,0.876221498371,0.825065274151,0.977307110439,0.771084337349,0.669950738916,4.706992816
90,0.003316463993,0.0589923820037,0.0779865963203,0.987755102041,0.866449511401,0.822454308094,0.977168949772,0.754491017964,0.666666666667,5.308060886
100,0.00326043389602,0.0613359861952,0.0771050629272,0.987755102041,0.869706840391,0.825065274151,0.977443609023,0.761904761905,0.676328502415,5.812249928
110,0.0032270579057,0.0621020650146,0.0790077010738,0.987755102041,0.869706840391,0.822454308094,0.977375565611,0.761904761905,0.663366336634,6.290221654
120,0.0032034883457,0.0628677272274,0.0804308656544,0.987755102041,0.866449511401,0.822454308094,0.977443609023,0.754491017964,0.66,6.843808266
130,0.00318600908302,0.0645879582383,0.0819216323708,0.987755102041,0.85342019544,0.819843342037,0.97688751926,0.727272727273,0.649746192893,7.352024224
140,0.00317619906598,0.0646184355652,0.0830344940785,0.987755102041,0.86319218241,0.822454308094,0.977168949772,0.746987951807,0.66,7.815442783
150,0.00316727536507,0.0646214742097,0.0831189601627,0.987755102041,0.85993485342,0.817232375979,0.977168949772,0.739393939394,0.646464646465,8.298018023
160,0.00316129758858,0.0646343501966,0.0827720320346,0.987755102041,0.85667752443,0.819843342037,0.977375565611,0.734939759036,0.649746192893,8.815452671
170,0.00315830752476,0.0649212514475,0.0841294985112,0.987755102041,0.85667752443,0.817232375979,0.977168949772,0.734939759036,0.646464646465,9.436211334
180,0.00315228091904,0.0653776711718,0.0844594258777,0.987755102041,0.85342019544,0.814621409922,0.977375565611,0.727272727273,0.639593908629,10.057557718
190,0.00314936531695,0.0655343644554,0.0845932749796,0.987755102041,0.85342019544,0.819843342037,0.977307110439,0.727272727273,0.649746192893,10.53055234
200,0.00314593963708,0.0653605587886,0.0835573692389,0.987755102041,0.85016286645,0.819843342037,0.977511244378,0.722891566265,0.653266331658,11.047087926
210,0.00314394748078,0.0657166294611,0.0824922498771,0.987755102041,0.85016286645,0.822454308094,0.977238239757,0.722891566265,0.656565656566,11.537663496
220,0.00314207858102,0.0657921357041,0.0815475056576,0.987755102041,0.85342019544,0.825065274151,0.976816074189,0.727272727273,0.659898477157,12.167210148
230,0.00314043327423,0.0662393032125,0.0804825926359,0.987755102041,0.85342019544,0.822454308094,0.977099236641,0.727272727273,0.656565656566,12.686680533
240,0.00314171803061,0.0662993119604,0.0806062568443,0.987755102041,0.85993485342,0.822454308094,0.9766718507,0.739393939394,0.65306122449,13.260575399
250,0.00313844161101,0.0664814004399,0.0810457890575,0.987755102041,0.85993485342,0.819843342037,0.977099236641,0.739393939394,0.649746192893,13.820574009
260,0.00313674462899,0.0665075852757,0.0813369599449,0.987755102041,0.85993485342,0.819843342037,0.977238239757,0.739393939394,0.653266331658,14.367280855
270,0.00313594967425,0.0667840427555,0.081270949917,0.987755102041,0.85667752443,0.825065274151,0.977029096478,0.734939759036,0.666666666667,14.901188927
280,0.00313502866951,0.0670317130974,0.0810587798167,0.987755102041,0.85342019544,0.827676240209,0.976958525346,0.727272727273,0.67,15.384420316
290,0.00313616740049,0.0673143121282,0.0806517639917,0.987755102041,0.85342019544,0.825065274151,0.976816074189,0.727272727273,0.663316582915,15.887246159
300,0.00313368905963,0.0674973776805,0.0805020254526,0.987755102041,0.85016286645,0.827676240209,0.977029096478,0.722891566265,0.67,16.384575527
310,0.00313305907185,0.0683847656724,0.0795284078472,0.987755102041,0.846905537459,0.830287206266,0.977443609023,0.715151515152,0.676616915423,16.896162935
320,0.00313266236786,0.0688695859218,0.0798134992855,0.987755102041,0.846905537459,0.832898172324,0.977578475336,0.715151515152,0.683168316832,17.463751874
330,0.00313251653238,0.0687257681845,0.0811062158833,0.987755102041,0.846905537459,0.825065274151,0.977307110439,0.715151515152,0.669950738916,17.967067856
340,0.00313172225004,0.0687734724311,0.0808608708788,0.987755102041,0.85016286645,0.832898172324,0.97688751926,0.722891566265,0.683168316832,18.547360786
350,0.00313129255939,0.0692178631727,0.0807389877673,0.987755102041,0.85016286645,0.832898172324,0.977099236641,0.722891566265,0.683168316832,19.053765315
360,0.00313107633512,0.0694642616249,0.0807000943361,0.987755102041,0.846905537459,0.830287206266,0.977238239757,0.715151515152,0.679802955665,19.665112135
370,0.00313092232023,0.0695450830455,0.0821973146658,0.987755102041,0.846905537459,0.825065274151,0.977307110439,0.715151515152,0.669950738916,20.252789952
380,0.00313081695455,0.0693402473068,0.0822533621124,0.987755102041,0.843648208469,0.825065274151,0.977443609023,0.710843373494,0.669950738916,20.753978287
390,0.00313089907714,0.0695589173753,0.0828833287475,0.987755102041,0.843648208469,0.822454308094,0.977511244378,0.710843373494,0.666666666667,21.362478382
400,0.00313047339588,0.0698470956093,0.0836117423028,0.987755102041,0.843648208469,0.819843342037,0.977029096478,0.710843373494,0.660098522167,22.020118642
410,0.00313047845142,0.0696816628021,0.0838253258908,0.987755102041,0.843648208469,0.825065274151,0.977307110439,0.710843373494,0.669950738916,22.574135778
420,0.00313047696116,0.0684202338741,0.0839497756532,0.987755102041,0.85016286645,0.822454308094,0.977578475336,0.722891566265,0.666666666667,23.085783872
430,0.00313049463945,0.0681992837852,0.0840623056844,0.987755102041,0.85016286645,0.822454308094,0.976744186047,0.722891566265,0.663366336634,23.59114317
440,0.00313017484572,0.0681521397701,0.0840605787224,0.987755102041,0.85342019544,0.822454308094,0.97688751926,0.730538922156,0.663366336634,24.037461066
