iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.130239113259,0.13241841198,0.131587808704,0.674285714286,0.664495114007,0.691906005222,0.126914660832,0.0550458715596,0.132352941176,0.301890251
10,0.105843183757,0.101188590656,0.10729245043,0.711836734694,0.755700325733,0.702349869452,0.275154004107,0.347826086957,0.25974025974,3.336494652
20,0.140525352813,0.132146683722,0.141917162535,0.632653061224,0.651465798046,0.626631853786,0.216027874564,0.241134751773,0.182857142857,6.277072595
30,0.131426760229,0.131698521247,0.130977485013,0.730612244898,0.732899022801,0.731070496084,0,0,0,9.323133652
40,0.125498105453,0.120533310241,0.134194067105,0.720816326531,0.736156351792,0.718015665796,0.0393258426966,0.10989010989,0.0847457627119,12.313699458
50,0.12883206112,0.129320000654,0.128402386967,0.731428571429,0.729641693811,0.731070496084,0,0,0,15.367356728
60,0.11361220487,0.110197661173,0.119632710586,0.739591836735,0.732899022801,0.723237597911,0.208436724566,0.18,0.15873015873,18.462511446
70,0.124832585979,0.123346568901,0.122377390005,0.73306122449,0.732899022801,0.733681462141,0.018018018018,0,0.0192307692308,21.441401072
80,0.113794468533,0.11089869144,0.117277225195,0.737959183673,0.739413680782,0.733681462141,0.153034300792,0.111111111111,0.120689655172,24.32031198
90,0.101263463819,0.0942339544597,0.109127105715,0.751020408163,0.781758957655,0.738903394256,0.295612009238,0.373831775701,0.21875,27.24059665
100,0.113742254412,0.110107509871,0.123096427561,0.737959183673,0.726384364821,0.712793733681,0.148541114058,0.106382978723,0.051724137931,30.166964672
110,0.108264905421,0.101766936014,0.116061958849,0.751020408163,0.749185667752,0.733681462141,0.215938303342,0.172043010753,0.135593220339,33.141519867
120,0.102059253208,0.093770812068,0.113303588471,0.743673469388,0.758957654723,0.707571801567,0.26976744186,0.314814814815,0.211267605634,36.290731865
130,0.111380950626,0.10387013135,0.117535447439,0.735510204082,0.749185667752,0.728459530026,0.147368421053,0.153846153846,0.103448275862,39.394456417
140,0.10731509687,0.0993772943201,0.115733318233,0.73387755102,0.752442996743,0.723237597911,0.22009569378,0.283018867925,0.15873015873,42.353412806
150,0.102735008748,0.0932163583258,0.113425150404,0.750204081633,0.758957654723,0.731070496084,0.223350253807,0.244897959184,0.134453781513,45.36665652
160,0.101432387098,0.0913938866209,0.112771917971,0.740408163265,0.768729641694,0.731070496084,0.356275303644,0.393162393162,0.308724832215,48.387933134
170,0.0990350479319,0.0931980458879,0.111163584401,0.755102040816,0.768729641694,0.725848563969,0.321266968326,0.348623853211,0.210526315789,51.474121437
180,0.10350206197,0.0960538369102,0.114177307622,0.735510204082,0.771986970684,0.725848563969,0.235849056604,0.351851851852,0.186046511628,54.309889507
190,0.100007171494,0.0924446456809,0.111479246323,0.749387755102,0.775244299674,0.731070496084,0.297482837529,0.378378378378,0.213740458015,57.102007102
200,0.103221134367,0.0948594762141,0.116993323744,0.748571428571,0.768729641694,0.720626631854,0.309417040359,0.371681415929,0.195488721805,60.125334664
210,0.0990083668026,0.0923600694398,0.110951328682,0.757551020408,0.775244299674,0.733681462141,0.332584269663,0.389380530973,0.238805970149,63.172484422
220,0.100221344113,0.0930929185456,0.114403455596,0.752653061224,0.785016286645,0.728459530026,0.328159645233,0.421052631579,0.1875,66.012856824
230,0.0993569323115,0.0924585618792,0.112977001315,0.751020408163,0.778501628664,0.728459530026,0.314606741573,0.381818181818,0.1875,68.945613586
240,0.100418418398,0.0926690722245,0.112551502977,0.751836734694,0.775244299674,0.736292428198,0.296296296296,0.366972477064,0.192,71.76209614
250,0.101236474666,0.0943375614504,0.113605890373,0.74693877551,0.768729641694,0.728459530026,0.295454545455,0.36036036036,0.1875,74.691577896
260,0.101605100406,0.0944622516772,0.113382739381,0.74693877551,0.765472312704,0.731070496084,0.279069767442,0.333333333333,0.176,77.665449241
270,0.101222893536,0.0936296496503,0.11411602903,0.74612244898,0.771986970684,0.733681462141,0.281755196305,0.339622641509,0.203125,80.767361582
280,0.100666313686,0.0946566445728,0.112351176339,0.748571428571,0.771986970684,0.725848563969,0.303167420814,0.363636363636,0.198473282443,83.65529156
290,0.101410878373,0.0950001099263,0.114140826658,0.74612244898,0.778501628664,0.733681462141,0.285057471264,0.37037037037,0.203125,86.672827483
300,0.100697545912,0.0940408215538,0.11306083172,0.744489795918,0.778501628664,0.728459530026,0.280459770115,0.381818181818,0.2,89.795943106
