iterations,fitness,time,fevals
0,15.0,0.012168552,1000
10,14.0,0.022221363,2100
20,14.0,0.029724644,3200
30,14.0,0.037642439,4300
40,14.0,0.048567002,5400
50,14.0,0.060357794,6500
60,14.0,0.067852433,7600
70,14.0,0.0830227869999,8700
80,15.0,0.0977422079999,9800
90,14.0,0.107347415,10900
100,15.0,0.115735573,12000
110,14.0,0.123679223,13100
120,14.0,0.139164317,14200
130,15.0,0.147853279,15300
140,14.0,0.158180424,16400
150,14.0,0.164767377,17500
160,14.0,0.176789831,18600
170,14.0,0.183620775,19700
180,14.0,0.192695878,20800
190,14.0,0.199363261,21900
200,14.0,0.20891235,23000
210,14.0,0.21977873,24100
220,14.0,0.227183033,25200
230,14.0,0.236426305,26300
240,14.0,0.243305315,27400
250,14.0,0.254670977,28500
260,14.0,0.263501827,29600
270,14.0,0.271666885,30700
280,14.0,0.280002432,31800
290,14.0,0.291549469,32900
300,14.0,0.302458525,34000
310,14.0,0.310016892,35100
320,14.0,0.320446046,36200
330,14.0,0.334988204,37300
340,14.0,0.348683256,38400
350,14.0,0.371229698,39500
360,14.0,0.390392748,40600
370,15.0,0.407400994,41700
380,14.0,0.433773598,42800
390,15.0,0.453218952,43900
400,14.0,0.478140113,45000
410,14.0,0.494188241,46100
420,14.0,0.509723825,47200
430,14.0,0.525910943,48300
440,14.0,0.540847532,49400
450,14.0,0.553195241,50500
460,14.0,0.566919694,51600
470,14.0,0.579938137,52700
480,14.0,0.594229713,53800
490,14.0,0.604799361,54900
500,14.0,0.614377899,56000
510,14.0,0.625439233,57100
520,14.0,0.634959956,58200
530,14.0,0.649582084,59300
540,14.0,0.663053855,60400
550,14.0,0.672756757,61500
560,14.0,0.681392546,62600
570,14.0,0.689781517,63700
580,14.0,0.702311225,64800
590,14.0,0.729015453,65900
600,14.0,0.736157175,67000
610,15.0,0.751374532,68100
620,15.0,0.761241729,69200
630,15.0,0.771856717,70300
640,15.0,0.782244439,71400
650,14.0,0.797089616,72500
660,14.0,0.809537442,73600
670,14.0,0.818018285,74700
680,14.0,0.830378304,75800
690,14.0,0.844013423,76900
700,14.0,0.855777378,78000
710,14.0,0.870566322,79100
720,14.0,0.88362303,80200
730,14.0,0.896349185,81300
740,14.0,0.908191161,82400
750,15.0,0.92396996,83500
760,14.0,0.936669865,84600
770,15.0,0.946436829,85700
780,15.0,0.961337044,86800
790,15.0,0.978605758,87900
800,15.0,0.990384352,89000
810,14.0,1.004294869,90100
820,15.0,1.013985563,91200
830,14.0,1.022685194,92300
840,15.0,1.037553166,93400
850,14.0,1.046235659,94500
860,14.0,1.057499442,95600
870,14.0,1.071623833,96700
880,14.0,1.086134938,97800
890,14.0,1.098605328,98900
900,14.0,1.113740849,100000
910,14.0,1.125923026,101100
920,14.0,1.137855073,102200
930,15.0,1.153426717,103300
940,14.0,1.165981851,104400
950,14.0,1.175190028,105500
960,15.0,1.184604113,106600
970,14.0,1.196729221,107700
980,14.0,1.207108101,108800
990,15.0,1.217266157,109900
1000,15.0,1.226573077,111000
1010,14.0,1.244903136,112100
1020,15.0,1.254832492,113200
1030,15.0,1.265524829,114300
1040,15.0,1.282693906,115400
1050,15.0,1.291250664,116500
1060,14.0,1.301854483,117600
1070,14.0,1.311261749,118700
1080,15.0,1.321301326,119800
1090,14.0,1.330586264,120900
1100,15.0,1.340944174,122000
1110,14.0,1.352869438,123100
1120,14.0,1.367650446,124200
1130,14.0,1.379641189,125300
1140,14.0,1.392789913,126400
1150,14.0,1.415019184,127500
1160,14.0,1.430470643,128600
1170,14.0,1.446637037,129700
1180,14.0,1.45606184,130800
1190,15.0,1.466745043,131900
1200,15.0,1.47837962,133000
1210,14.0,1.490085571,134100
1220,15.0,1.49698436,135200
1230,14.0,1.506822682,136300
1240,14.0,1.514818514,137400
1250,14.0,1.530880907,138500
1260,14.0,1.537367235,139600
1270,14.0,1.54617328,140700
1280,15.0,1.55345,141800
1290,14.0,1.565250656,142900
1300,14.0,1.585765098,144000
1310,15.0,1.604551259,145100
1320,15.0,1.64967359,146200
1330,15.0,1.692585417,147300
1340,15.0,1.702983151,148400
1350,14.0,1.713046382,149500
1360,14.0,1.719820168,150600
1370,14.0,1.724270527,151700
1380,14.0,1.733754374,152800
1390,14.0,1.751277372,153900
1400,14.0,1.763622787,155000
1410,14.0,1.777066448,156100
1420,15.0,1.786214588,157200
1430,14.0,1.794037241,158300
1440,14.0,1.809237507,159400
1450,14.0,1.827733589,160500
1460,15.0,1.847605149,161600
1470,15.0,1.870505794,162700
1480,14.0,1.885779213,163800
1490,14.0,1.893179273,164900
1500,15.0,1.905395533,166000
1510,15.0,1.917741751,167100
1520,15.0,1.92639847,168200
1530,15.0,1.934156938,169300
1540,15.0,1.946420245,170400
1550,15.0,1.955363524,171500
1560,15.0,1.964363703,172600
1570,15.0,1.972197286,173700
1580,15.0,1.986324435,174800
1590,15.0,1.99708989,175900
1600,15.0,2.009006891,177000
1610,15.0,2.016709397,178100
1620,15.0,2.029925519,179200
1630,15.0,2.038854483,180300
1640,15.0,2.050737362,181400
