iterations,fitness,time,fevals
0,26.0,0.005814665,729
10,31.0,0.012909349,1355
20,31.0,0.020141078,1988
30,31.0,0.02689893,2608
40,31.0,0.030811315,3242
50,32.0,0.035145993,3868
60,31.0,0.041108125,4503
70,32.0,0.045818408,5134
80,32.0,0.049449625,5751
90,31.0,0.053882292,6372
100,33.0,0.067444401,6996
110,34.0,0.071262097,7611
120,33.0,0.074248142,8222
130,33.0,0.078107842,8869
140,33.0,0.082264913,9492
150,33.0,0.085037348,10137
160,34.0,0.088737329,10774
170,34.0,0.0938024,11419
180,34.0,0.097450951,12047
190,35.0,0.102111179,12684
200,36.0,0.104707983,13317
210,35.0,0.108138009,13947
220,37.0,0.11306972,14571
230,36.0,0.117023924,15206
240,36.0,0.119946037,15838
250,37.0,0.123897638,16481
260,36.0,0.127795073,17109
270,38.0,0.133334783,17729
280,36.0,0.137394003,18366
290,38.0,0.152339664,18991
300,36.0,0.158116477,19610
310,37.0,0.165469844,20234
320,38.0,0.171070635,20865
330,40.0,0.177797737,21497
340,40.0,0.194316735,22123
350,42.0,0.202453528,22753
360,43.0,0.206441766,23384
370,42.0,0.209682723,24007
380,43.0,0.21567509,24639
390,45.0,0.2224342,25294
400,45.0,0.228034929,25926
410,45.0,0.232416637,26552
420,45.0,0.23773035,27187
430,45.0,0.244509461,27817
440,45.0,0.251639907,28439
450,45.0,0.257370386,29068
460,45.0,0.261086479,29695
470,44.0,0.265106116,30325
480,44.0,0.268785152,30962
490,45.0,0.276004006,31579
500,45.0,0.280090014,32218
510,45.0,0.285667723,32849
520,46.0,0.290778836,33483
530,46.0,0.298373338,34114
540,46.0,0.307754239,34743
550,46.0,0.316280616,35371
560,47.0,0.325117592,36006
570,46.0,0.333507033,36625
580,47.0,0.340546568,37262
590,47.0,0.344599437,37877
600,48.0,0.349095781,38526
610,47.0,0.354803731,39157
620,48.0,0.358924921,39801
630,48.0,0.368860719,40428
640,47.0,0.372184442,41057
650,48.0,0.379511881,41686
660,48.0,0.381974556,42315
670,48.0,0.384289418,42935
680,48.0,0.388239205,43567
690,47.0,0.39240804,44191
700,48.0,0.416676452,44828
710,48.0,0.420661033,45454
720,49.0,0.426829158,46084
730,49.0,0.430419028,46714
740,49.0,0.437353413,47349
750,49.0,0.441787792,47973
760,49.0,0.446110377,48606
770,49.0,0.452281926,49223
780,49.0,0.457270781,49848
790,49.0,0.464832191,50471
800,51.0,0.469459196,51102
810,50.0,0.476269486,51725
820,54.0,0.479596533,52360
830,50.0,0.494007353,52980
840,51.0,0.502399868,53600
850,51.0,0.51424066,54230
860,52.0,0.518565676,54858
870,51.0,0.522129129,55470
880,52.0,0.526454006,56106
890,52.0,0.530069478,56743
900,51.0,0.534639969,57378
910,56.0,0.537961815,58015
920,52.0,0.541775542,58650
930,53.0,0.546366191,59286
940,55.0,0.549005333,59921
950,54.0,0.55389284,60546
960,54.0,0.556946159,61176
970,53.0,0.559587268,61799
980,53.0,0.563231733,62421
990,55.0,0.568134594,63050
1000,55.0,0.571793248,63678
1010,55.0,0.575514342,64310
1020,55.0,0.579465179,64933
1030,55.0,0.582725293,65570
1040,56.0,0.585651342,66189
1050,55.0,0.590150825,66826
1060,57.0,0.593046461,67461
1070,56.0,0.596017893,68069
1080,56.0,0.598561864,68693
1090,56.0,0.601932183,69325
1100,56.0,0.607533746,69959
1110,56.0,0.611100289,70592
1120,56.0,0.614695247,71241
1130,57.0,0.617597891,71877
1140,55.0,0.621848239,72504
1150,57.0,0.625319584,73124
1160,55.0,0.628341221,73754
1170,55.0,0.631305616,74396
1180,56.0,0.634955746,75027
1190,55.0,0.638462532,75654
1200,56.0,0.642524113,76285
1210,55.0,0.645568706,76922
1220,55.0,0.648964799,77562
1230,55.0,0.652314317,78196
1240,55.0,0.656289389,78831
1250,56.0,0.659892882,79468
1260,55.0,0.664514132,80106
1270,56.0,0.670561672,80743
1280,56.0,0.676022024,81377
1290,55.0,0.679098929,82007
1300,55.0,0.692921276,82642
1310,56.0,0.696410366,83279
1320,57.0,0.701494776,83916
1330,56.0,0.705418974,84545
1340,56.0,0.714793974,85176
1350,56.0,0.720426526,85802
1360,56.0,0.725167115,86422
1370,56.0,0.729483298,87064
1380,56.0,0.73627222,87685
1390,55.0,0.741566416,88301
1400,56.0,0.748496442,88932
1410,56.0,0.752456167,89554
1420,57.0,0.755937489,90176
1430,56.0,0.75925689,90813
1440,57.0,0.764327026,91443
1450,57.0,0.768637425,92075
1460,57.0,0.771709278,92707
1470,56.0,0.775493571,93330
1480,56.0,0.778762005,93968
1490,56.0,0.782622985,94596
1500,57.0,0.785569298,95243
1510,56.0,0.78875801,95867
1520,57.0,0.791729861,96499
1530,58.0,0.796163319,97138
1540,58.0,0.799344196,97774
1550,56.0,0.803118545,98409
1560,55.0,0.806597838,99046
1570,57.0,0.811924719,99686
1580,55.0,0.815446512,100308
1590,56.0,0.819146714,100940
1600,57.0,0.822495178,101577
1610,56.0,0.827483444,102204
1620,55.0,0.831651611,102836
1630,56.0,0.836233212,103463
1640,55.0,0.842199124,104090
1650,55.0,0.846691326,104724
1660,56.0,0.850835312,105358
1670,55.0,0.854878742,105988
1680,55.0,0.858458668,106625
1690,56.0,0.864025592,107255
1700,56.0,0.875085164,107876
1710,57.0,0.87904589,108500
1720,56.0,0.883220427,109144
1730,56.0,0.89288901,109780
1740,57.0,0.897525801,110423
1750,56.0,0.902802253,111047
1760,57.0,0.90679147,111678
1770,57.0,0.911095663,112312
1780,55.0,0.914578455,112940
1790,58.0,0.918282873,113569
1800,64.0,0.923709413,114203
1810,59.0,0.927962728,114834
1820,57.0,0.932723839,115464
1830,58.0,0.936925926,116092
1840,58.0,0.94039748,116714
1850,64.0,0.944288265,117341
1860,65.0,0.947510787,117973
1870,57.0,0.95200217,118614
1880,57.0,0.956959961,119242
1890,58.0,0.959836092,119872
1900,57.0,0.96431907,120502
1910,57.0,0.968149234,121138
1920,58.0,0.974010073,121770
1930,58.0,0.977141681,122405
1940,65.0,0.980950241,123037
1950,66.0,0.984473503,123663
1960,66.0,0.988355452,124298
1970,65.0,0.993431988,124922
1980,65.0,0.998905003,125548
1990,74.0,1.002391963,126179
2000,74.0,1.005110934,126802
2010,74.0,1.00813544,127430
2020,73.0,1.011030957,128046
2030,74.0,1.014637914,128678
2040,74.0,1.017859906,129305
2050,73.0,1.021349229,129926
2060,74.0,1.0257331,130540
2070,73.0,1.029134396,131166
2080,74.0,1.032457165,131791
2090,74.0,1.040414233,132416
2100,74.0,1.043051856,133047
2110,74.0,1.04583475,133679
2120,74.0,1.04936334,134316
2130,74.0,1.051924122,134933
2140,74.0,1.054701332,135557
2150,75.0,1.05732211,136173
2160,76.0,1.061421372,136804
2170,79.0,1.064401929,137433
2180,79.0,1.068134312,138056
2190,75.0,1.07176879,138681
2200,76.0,1.075805653,139320
2210,75.0,1.078632143,139962
2220,75.0,1.083014578,140590
2230,74.0,1.086086241,141223
2240,74.0,1.089377563,141850
2250,77.0,1.113513256,142478
2260,74.0,1.115760008,143114
2270,74.0,1.119117543,143743
2280,74.0,1.122156978,144362
2290,74.0,1.124281544,144995
2300,73.0,1.127217482,145633
2310,74.0,1.129288371,146257
2320,75.0,1.132380147,146874
2330,76.0,1.135174685,147504
2340,76.0,1.138645187,148138
2350,74.0,1.142314603,148774
2360,74.0,1.144256056,149400
2370,74.0,1.146397427,150025
2380,74.0,1.149422812,150656
2390,74.0,1.151928723,151294
2400,75.0,1.154837115,151933
2410,78.0,1.156924016,152558
